Shivajinagar,C.E.O.P.Hostel,600,2
C.E.O.P.Hostel,Modern High School,1000,3
Modern High School,Sambhaji Maharaj Udyan,850,2
Sambhaji Maharaj Udyan,Deccan Gymkhana,700,1
Deccan Gymkhana,Sahitya Parishad,650,2
Sahitya Parishad,Maharashtra Mandal,1200,4
Maharashtra Mandal,S.P.College,450,2
S.P.College,Madiwale Colony,550,2
Madiwale Colony,Hirabaug,630,2
Hirabaug,Swargate Corner,1000,3
Swargate Corner,Swargate,500,1
Swargate,Laxmi Narayan Theatre,850,2
Laxmi Narayan Theatre,S.T.Colony,760,2
S.T.Colony,Bhapkar Petrol Pump,870,2
Bhapkar Petrol Pump,Aranyeshwar,930,3
Aranyeshwar,Natu Baug,860,3
Natu Baug,Padmavati,780,2
Padmavati,K.K Market,680,2
K.K Market,Balajinagar,660,2
Balajinagar,Bharati Vidyapeeth Gate,1060,4
Bharati Vidyapeeth Gate,Katraj Dairy-Sarpodyan,650,2
Katraj Dairy-Sarpodyan,Morebaug,830,3
Morebaug,Katraj,950,2
Upper Depot,Upper Indiranagar,1210,6
Upper Indiranagar,State Bank Colony,1030,4
State Bank Colony,Chintamaninagar,870,2
Chintamaninagar,Lower Indiranagar,750,2
Lower Indiranagar,Bharat Jyoti,920,3
Bharat Jyoti,Bibewadi,540,1
Bibewadi,Kothari Corner,730,2
Kothari Corner,Vasant Baug,850,2
Vasant Baug,E.S.I. Hospital,590,2
E.S.I. Hospital,Pushpa Mangal Karyalaya,780,2
Pushpa Mangal Karyalaya,Bhapkar Petrol Pump,840,2
Sangamwadi,Luxury Bus Offices Sangamwadi,640,1
Luxury Bus Offices Sangamwadi,C.E.O.P.Hostel,850,2
S.T.Colony,Panchami Hotel,730,2
Panchami Hotel,Shiv Darshan,890,3
Shiv Darshan,Laxminagar Corner,680,4
Laxminagar Corner,Sahakarnagar Police Station,830,2
Sahakarnagar Police Station,Dashabhuja Mandir,830,2
Dashabhuja Mandir,Chintamani Society,640,2
Chintamani Society,Sahakarnagar,740,2
